Name,Company,Location,Technologies,Salary Low,Salary High,Currency
 Tester - QA Engineer ,3mk Protection,Ostrów,Testing  Postman  Miro  Excel,5500,10000,PLN
 Remote Data Scientist ,Link Group,Remote,Data  SQL  Data science  Machine learning,18480,25200,PLN
 Senior Data Engineer GCP - Remote  ,Link Group,Remote,Data  SQL  GCP  BigQuery,21840,30240,PLN
 Senior Data Engineer ,Akamai,Remote,Data  Scala  Scala or Java  Python,19000,20000,PLN
 Lead Data Architect ,Digital Hub Warsaw at Bayer,Warsaw,Data  SQL  Degree  Market analytics,24000,34000,PLN
 Program and Transition Manager ,Altimetrik Poland,Remote,Project Manager  Jira  SAFe  Altas,25000,29500,PLN
 Senior Talend ETL Specialist ,JSS Associates,Warsaw,Data  ETL  AWS Cloud  Data management,,,
 System Engineer ,AVENGA,Remote,Data  SQL  Relational database  Oracle,18480,20160,PLN
 Data Architect - Remote ,ITDS,Remote,Data  Data management  Data architecture  Data Governance,23100,27300,PLN
 Data Warehouse Engineer ,HSBC Technology Poland,Kraków,Data  Trino  Dremio  Data Lake,23000,30000,PLN
 QA Manager ,Appfire,Remote,Testing  Selenium  Cypress  Wiremock,22625,28630,PLN
 Remote Data Engineer  ,Kingfisher plc.,Remote,Data  Python  AWS  Data modelling,15000,19000,PLN
 Tableau Developer (0.5 FTE) ,AVENGA,Remote,Data  Tableau  SQL  Data visualization,16800,20160,PLN
  Administrator baz danych MS SQL ,Connectis_,Kobyłka,Data  API  MS SQL  ETL,17000,20000,PLN
 Senior Data Engineer z j. niemieckim  ,dmTECH,Remote,Data  Big data  Spark  Hive,15120,28896,PLN
 Delivery Manager for IoT/BSS/OSS project in Europe ,Intellias,Remote,Project Manager  IoT  BSS  OSS,,,
 Data Engineer ,ROCKWOOL GBS,Poznań,Data  SQL  NoSQL  Data pipelines,,,
 BigQuery Data Engineer  ,Ocado Technology,Kraków,Data  SQL  BigQuery  Python,,,
 Senior Machine Learning Engineer (Future Opening) ,Xebia sp. z o.o.,Remote,Data  Python  Cloud  CI/CD,20100,33600,PLN
 DLT Engineer ,HSBC Technology Poland,Kraków,Data  Java  Spring Framework  RDBMS,23000,25000,PLN
 Regular/Senior Test Automation Engineer z j.niem. ,dmTECH,Remote,Testing  Java  Tricentis Tosca  Python,18480,28560,PLN
 Data Engineer ,CommerzBank,Łódź,Data  SQL  DWH  Unix,,,
 Programista Oracle  ,HRose Agency,Łódź,Data  SQL  Oracle  Java,,,
 Data Engineer (Fulfillment) ,Tesco Technology,Kraków,Data  Scala  Hadoop  Kafka,20000,30000,PLN
 Python Developer ,ROCKWOOL GBS,Poznań,Data  Python  Machine learning  TensorFlow,,,
 Senior / Project Manager w Zespole Rozwiązań IT​ ,Benefit Systems SA,Warszawa,Project Manager  Project management  GRC  PMP Certificate,,,
 Programista Oracle ,Crestt sp. z o.o.,Łódź,Data  Oracle  SQL  Java,21840,25200,PLN
 Data Scientist ,Connectis_,Remote,Data  AI  Machine learning  Python,25200,28560,PLN
 Data Engineer | Branża elektroniczna ,Edge One Solutions Sp. z o.o.,Remote,Data  Hive  Spark  ETL,,,
 Data Engineer (Senior/Principal) ,Addepto,Remote,Data  Python  Big data  Databricks,21000,31920,PLN
 QA Manager - Tester manualny ,Eversis,Remote,Testing  Issue tracking  QA experience  Jira,7000,9600,PLN
 Cloud Data Warehouse Platform Developer ,Devire,Warszawa,Data  AWS  Amazon Redshift  AWS S3,22000,27000,PLN
 Big Data Engineer (with Palantir Foundry) ,N-iX,Remote,Data  Python  Palantir  PySpark,5100,7000,USD
